"side";"carryingcapacity";"regenrate";"agentdensity";"initialsuglevel";"metabolrangemax";"visionrangemax";"birthrate";"inboundrate";"outboundrate";"threshold";"period_1";"period_2";"period_3";"period_4";"period_5";"period_6";"period_7";"period_8";"period_9";"period_10";"period_11";"period_12";"period_13";"period_14";"period_15";"period_16";"period_17";"period_18";"period_19";"period_20";"period_21";"period_22";"period_23";"period_24";"period_25";"period_26";"period_27";"period_28";"period_29";"period_30";"inst_period_1";"inst_period_2";"inst_period_3";"inst_period_4";"inst_period_5";"inst_period_6";"inst_period_7";"inst_period_8";"inst_period_9";"inst_period_10";"inst_period_11";"inst_period_12";"inst_period_13";"inst_period_14";"inst_period_15";"inst_period_16";"inst_period_17";"inst_period_18";"inst_period_19";"inst_period_20";"inst_period_21";"inst_period_22";"inst_period_23";"inst_period_24";"inst_period_25";"inst_period_26";"inst_period_27";"inst_period_28";"inst_period_29";"inst_period_30"
16;3;4;0.49;2;2;1;0.04;0.21;0.27;4;0.107509467218041;0.198073370490301;0.286304331008646;0.372594011097135;0.411588114719062;0.426346210616988;0.45118001246161;0.467258716885846;0.451425697169094;0.453564372898675;0.476024141261765;0.496762368277684;0.509371938594801;0.514711759321503;0.52449424309337;0.525956593606925;0.52590551992581;0.524160199861589;0.527145960400072;0.529186600273294;0.530740830847339;0.53827166620755;0.54471584917897;0.551085922649849;0.55669074633076;0.556441754438302;0.561401805183717;0.54784924121549;0.524487259512615;0.528480128438035;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;5;4;0.48;3;4;4;0.09;0.17;0.1;4;0.164086054483558;0.271786464326658;0.331952695191504;0.380823286625607;0.402763449481947;0.398684862183478;0.415464224540961;0.407906995770398;0.418920722922491;0.427182130298798;0.409484946379569;0.416964252215052;0.413332865873842;0.419642810750724;0.413117523578005;0.418072249211467;0.422157724861597;0.425809036634692;0.428915934833952;0.426441648690341;0.429431532638425;0.426272297014119;0.422347761293349;0.418483933797285;0.419716345106565;0.421329976602891;0.422645653279448;0.423781627743142;0.424990066933636;0.425998263321357;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;3;2;0.33;5;3;1;0.16;0.2;0.15;2;0.0774260328429473;0.171258072118494;0.287328505874048;0.392869625631467;0.302576707279412;0.293582290837724;0.298999321639839;0.318952933149096;0.354665719573714;0.384292401231592;0.389090732946997;0.414764950181679;0.374568943539994;0.350128731147087;0.368851214221049;0.384898003540132;0.394964212210821;0.390291637150698;0.403398682466157;0.373172733255651;0.380217193673657;0.389095198117854;0.395469667513503;0.406296066032228;0.411623448788551;0.421741138891622;0.427022817937445;0.431829209123144;0.437124837067749;0.441619423799817;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;4;3;0.45;5;2;3;0.15;0.18;0.32;2;0.0412432587106549;0.0757141555901799;0.104954214075432;0.130070109344816;0.151876900153762;0.170988145857055;0.187874550434495;0.202903251919076;0.2163648209956;0.228492232215797;0.239474460899704;0.249466401864386;0.258596220737008;0.266970881111293;0.274680354662504;0.28180086637279;0.288397423367933;0.294525805319463;0.300234145577956;0.305564197964409;0.310552359790645;0.315230504135581;0.319626661618888;0.323765582494813;0.327595731579843;0.331131334113336;0.334477950322996;0.33772636439552;0.34080869398415;0.343673881915062;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;3;4;0.46;4;3;1;0.15;0.32;0.17;5;0.101481560023717;0.234373424005711;0.394723836851512;0.383439126312098;0.359846840914637;0.318494224457269;0.366533035309263;0.381331883255851;0.419540281749563;0.401437643903309;0.416111736482304;0.412533521739301;0.403154118795551;0.403288339714559;0.417805603843587;0.431490788484975;0.427951099406285;0.439372408929557;0.450171134580276;0.427806843025847;0.435922037603807;0.443605165522415;0.451346423799946;0.4582630603234;0.464838992729368;0.471098385990293;0.476588142669543;0.482287859724436;0.487681127993703;0.492888315735125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;5;3;0.5;3;4;4;0.13;0.34;0.31;4;0.155424146141021;0.260801879951522;0.288983501334627;0.33298278998116;0.351880888589401;0.360238319802762;0.350313224295765;0.348701129808242;0.360494174352061;0.371264088297966;0.370347849095521;0.372366993427713;0.373678250622462;0.367482069202901;0.366580163433108;0.370682856224349;0.374385787450316;0.377580213926887;0.374765050685326;0.376828317125452;0.378841152437263;0.375279978850366;0.377197663435453;0.37897336868972;0.380557774263864;0.381972136980078;0.383410732364293;0.384756608854465;0.385872145440714;0.387018134734684;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;4;3;0.3;3;3;3;0.11;0.25;0.23;4;0.145625065391086;0.226471563010541;0.275703501653142;0.303522679093899;0.318346989523782;0.345796322112693;0.364796885886517;0.360784004516515;0.375450144491557;0.38986428877673;0.37331408441965;0.380996583065214;0.390117474556129;0.384530886447037;0.390545281184085;0.394894207541806;0.399865400434691;0.406373378556789;0.411432524711384;0.415350882559844;0.418623314535771;0.42106149797547;0.424915870703047;0.428395631206331;0.430851154710062;0.433266148129102;0.436253776163824;0.437718019964761;0.441047989528361;0.442050662471801;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;6;3;0.43;2;2;2;0.11;0.1;0.16;3;0.0436352611163417;0.0696892734504605;0.0869575917582914;0.0967818585187267;0.103356301466086;0.108092450451497;0.111599038620113;0.114293869076146;0.116429576760572;0.118163816560684;0.119600064073927;0.120809048146045;0.121840755257156;0.12273151390761;0.123508361120918;0.12419183443867;0.124797814230103;0.125338772967485;0.125824642839329;0.12626343114427;0.126661665054205;0.127024718504701;0.127357056116527;0.127662417719483;0.127943959695081;0.128204364484684;0.128445926325544;0.128670619025056;0.12888015001531;0.129076003822353;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;2;5;0.35;2;3;3;0.14;0.13;0.25;2;0.156666069692912;0.233543816821652;0.24788544742776;0.269517167774776;0.297274595262507;0.327979079135096;0.361443266115481;0.398056724323074;0.334694705576429;0.348878899671842;0.360096092052169;0.375226157445458;0.31242530673449;0.31242530673449;0.31242530673449;0.321967344206309;0.321967344206309;0.322704057263049;0.322704057263049;0.322704057263049;0.322704057263049;0.322704057263049;0.322704057263049;0.322704057263049;0.322440243651501;0.322440243651501;0.327269422716205;0.339726755552347;0.339726755552347;0.339726755552347;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;4;1;0.44;2;5;2;0.19;0.31;0.06;4;0.299840202872657;0.297625803458204;0.330260512687966;0.276256263322623;0.23377315554682;0.248319481216706;0.250403509683139;0.260738764783992;0.276626765741356;0.282173522059644;0.294177927667221;0.299029714189513;0.30190812257322;0.310555235475151;0.307800945266792;0.315249771737696;0.321963742603329;0.323221057407706;0.324884298388588;0.330276601767402;0.330849980532911;0.335494398163186;0.336603274770576;0.289315349589123;0.293344215836346;0.293419680759568;0.293765303211662;0.297253290058786;0.297072125625531;0.300188851154624;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
