λ,gini,gini_lowCI,gini_highCI,number_components,number_components_lowCI,number_components_highCI,size_largest_component,size_largest_component_lowCI,size_largest_component_highCI,time_to_stage2,time_to_stage2_lowCI,time_to_stage2_highCI,time_to_stage3,time_to_stage3_lowCI,time_to_stage3_highCI,average_proto_size_pre,average_proto_size_pre_lowCI,average_proto_size_pre_highCI,average_proto_size_post,average_proto_size_post_lowCI,average_proto_size_post_highCI,num_agents_in_proto,num_agents_in_proto_lowCI,num_agents_in_proto_highCI,num_living_agents_pre,num_living_agents_pre_lowCI,num_living_agents_pre_highCI,num_living_agents_post,num_living_agents_post_lowCI,num_living_agents_post_highCI,num_protos_pre,num_protos_pre_lowCI,num_protos_pre_highCI,num_protos_post,num_protos_post_lowCI,num_protos_post_highCI,avg_lifespan_isos,avg_lifespan_isos_lowCI,avg_lifespan_isos_highCI,avg_lifespan_nonisos,avg_lifespan_nonisos_lowCI,avg_lifespan_nonisos_highCI
2.5500000000000007,0.0927356249275779,0.08955972300324277,0.0958453543257993,52.9,49.5,55.949999999999996,392.6,386.94875,398.20000000000005,1.0,1.0,1.0,17.6,16.300000000000004,18.750000000000004,3.6878075925810814,3.597841053007953,3.7754941593804907,3.7583475090178218,3.670695256914619,3.846242279530739,408.25,404.99875,411.90125,453.75,451.4,456.55,442.0,436.55,447.6,110.95,108.64875,113.00125,106.7,104.19875,109.4,18.535215574891026,17.573192705200785,19.53406401267644,35.543451613489026,34.256728551459084,36.78101407365474
2.795000000000001,0.0873844343264891,0.08458389249231817,0.08995824959311374,41.15,38.349999999999994,44.10124999999999,407.95,402.79875,413.04999999999995,1.0,1.0,1.0,18.05,16.900000000000002,19.0,3.79374482681317,3.7192171713274402,3.8638914704171476,3.8515672547496274,3.7787936672222475,3.9278316390537267,418.0,413.89875,421.40125,453.7,450.84874999999994,456.70125,445.3,442.89875,448.15000000000003,110.35,108.39999999999999,112.14999999999999,107.1,105.1,108.94999999999999,16.688712059458084,15.592910145051388,17.633150951586426,36.00521687790065,34.89772809621953,36.92436291776338
3.040000000000001,0.08913883894684652,0.08695813309446863,0.09125380363367747,33.55,30.79875,36.39999999999999,418.75,415.39875,422.25125,1.0,1.0,1.0,15.95,15.0,16.95,3.9496797945296693,3.8314093485560194,4.0692785214038985,4.0651731132935955,3.919357826264246,4.1895012906851825,425.0,422.54875,427.95125,454.7,452.69874999999996,456.79999999999995,440.85,437.19875,444.7012500000001,108.1,105.14999999999999,111.35,102.5,99.14875,106.2525,14.380258171603368,13.707744656304694,15.14356591200611,33.8911636558375,32.87561345966751,34.80111694278169
3.285000000000001,0.08870153388842475,0.08525639970380945,0.09254362458461833,27.9,25.699999999999996,30.249999999999996,422.4,418.14874999999995,426.4025,1.0,1.0,1.0,16.15,14.799999999999997,17.299999999999997,4.013920159127438,3.9350725624492044,4.088634157536844,4.126250903460636,4.044251334043812,4.196955681991166,428.15,424.44999999999993,431.94999999999993,452.5,449.94874999999996,455.20125,438.15,433.29999999999995,442.95374999999996,106.85,104.79999999999998,109.04999999999998,101.2,98.89875,103.60000000000001,12.699935583386553,11.893711383001573,13.546760058266809,34.082569214142914,32.67681824611921,35.251330578341346
3.530000000000001,0.08646012820653613,0.08395925265371823,0.08927545062829684,21.55,19.650000000000002,23.650000000000002,429.2,424.65,433.84999999999997,1.0,1.0,1.0,16.7,15.549999999999997,17.75,4.040869667400967,3.9284691076459497,4.140420908484379,4.1604704672473325,4.031528666899911,4.277515111825964,432.7,428.99875,436.4,451.75,448.79875,454.45,440.45,436.15,444.60375,107.4,105.04875000000001,110.10000000000001,102.1,99.39999999999999,105.35,11.125917137891369,10.212930060626965,11.97050655017528,34.63539821092801,33.46440013873648,35.599957121922635
3.7750000000000012,0.08457645182126704,0.08192132840535135,0.0874968598702878,17.8,16.0,19.85,432.25,428.84875,435.7,1.0,1.0,1.0,16.05,15.100000000000001,16.95125,4.140319744978988,4.041619091865815,4.2353402910460325,4.268222410259035,4.158920905469438,4.371184947162015,434.45,431.09999999999997,437.59999999999997,450.25,448.14875,452.55,437.65,433.29999999999995,441.84999999999997,105.2,102.79750000000001,107.45,99.6,96.8475,102.35,9.419239109364739,8.657330643362455,10.178095530882997,33.98292791890138,32.916118305125785,34.893599617008604
4.020000000000001,0.0841478405941632,0.08097341308061791,0.08701023869309203,12.8,11.150000000000002,14.30125,442.15,439.19999999999993,444.79999999999995,1.0,1.0,1.0,16.55,15.600000000000001,17.450000000000003,4.2166572278110035,4.132811487633424,4.2971515717474205,4.30676599144109,4.215284423728846,4.393900874711457,443.55,440.65000000000003,446.25125,454.7,451.79999999999995,457.40125,444.85,441.90000000000003,448.00000000000006,105.4,103.15,107.60125000000001,101.25,99.15,103.5,8.2924000871614,7.5228950871085996,9.089664134046458,34.496125281955536,33.38452852831213,35.369265073196644
4.2650000000000015,0.07963442174411528,0.0761600040539687,0.08278544120320085,10.45,9.45,11.499999999999998,443.75,440.745,446.75,1.0,1.0,1.0,17.4,15.999999999999996,18.9,4.4278278883342015,4.299076087797442,4.546100707339624,4.541810708807878,4.421167899697795,4.671620995588177,444.95,442.15,447.70125,453.8,450.90000000000003,456.8,443.35,437.90000000000003,449.15375000000006,100.85,98.24999999999999,103.35125,96.2,93.2,99.00125,7.413836194390714,6.624987041962724,8.089938290060696,35.35321746620154,33.934790127121566,36.83508408405941
4.510000000000002,0.0782145319901284,0.07518604760949647,0.08136271060039572,7.95,6.498750000000001,9.25,446.8,442.79875,450.70000000000005,1.0,1.0,1.0,16.75,15.498750000000001,17.8,4.523895685565513,4.371264068692696,4.662539273259644,4.65266436127889,4.4841783281013905,4.821767375696407,447.35,443.00000000000006,451.45000000000005,454.05,450.85,457.40125000000006,444.65,439.34874999999994,450.45124999999996,99.45,95.99875,103.05125000000001,95.05,90.94999999999999,99.39999999999999,5.99607591896947,5.32803874305777,6.6175175105378905,34.69756907345509,33.4767731318555,35.82558264844254
4.755000000000002,0.0786410165785269,0.07515948764484806,0.08197247002638797,6.3,5.3999999999999995,7.199999999999999,449.75,446.15,453.45125,1.0,1.0,1.0,16.8,15.700000000000003,17.85,4.503668620193641,4.3614207425229035,4.6332015514692735,4.601490735713642,4.461259318470488,4.748630567646554,449.95,446.09874999999994,453.60125,455.15,451.84874999999994,458.4,447.7,442.89874999999995,453.20125,100.35,97.64999999999999,103.04999999999998,96.7,93.45,99.65,5.383169521500878,4.9312765348626995,5.840170134714327,34.75606320467306,33.745976563041815,35.85847920744457
